Row ID,Order ID,Order Date,Ship Mode,Customer Name,Segment,Country,State,Region,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit
26,CA-2019-121755,2022-01-15,Second Class,Eric Hoffmann,Consumer,United States,California,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224
27,CA-2019-121755,2022-01-15,Second Class,Eric Hoffmann,Consumer,United States,California,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741
28,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
29,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532
30,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525
31,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016
32,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092
33,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715
34,US-2018-150630,2021-09-16,Standard Class,Tracy Blumstein,Consumer,United States,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546
35,CA-2020-107727,2023-10-19,Second Class,Matt Abelman,Home Office,United States,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468
36,CA-2019-117590,2022-12-07,First Class,Gene Hale,Corporate,United States,Texas,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737
37,CA-2019-117590,2022-12-07,First Class,Gene Hale,Corporate,United States,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963
38,CA-2018-117415,2021-12-26,Standard Class,Steve Nguyen,Home Office,United States,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415
39,CA-2018-117415,2021-12-26,Standard Class,Steve Nguyen,Home Office,United States,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764
40,CA-2018-117415,2021-12-26,Standard Class,Steve Nguyen,Home Office,United States,Texas,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147
41,CA-2018-117415,2021-12-26,Standard Class,Steve Nguyen,Home Office,United States,Texas,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564
42,CA-2020-120999,2023-09-10,Standard Class,Linda Cazamias,Corporate,United States,Illinois,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
43,CA-2019-101343,2022-07-16,Standard Class,Ruben Ausman,Corporate,United States,California,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0,3.894
44,CA-2020-139619,2023-09-19,Standard Class,Erin Smith,Corporate,United States,Florida,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616
45,CA-2019-118255,2022-03-10,First Class,Odella Nelson,Corporate,United States,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714
46,CA-2019-118255,2022-03-10,First Class,Odella Nelson,Corporate,United States,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0,8.2062
47,CA-2017-146703,2020-10-19,Second Class,Patrick O'Donnell,Consumer,United States,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0,8.4784
48,CA-2019-169194,2022-06-19,Standard Class,Lena Hernandez,Consumer,United States,Delaware,East,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95
49,CA-2019-169194,2022-06-19,Standard Class,Lena Hernandez,Consumer,United States,Delaware,East,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.104
50,CA-2018-115742,2021-04-17,Standard Class,Darren Powers,Consumer,United States,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0,17.9634
51,CA-2018-115742,2021-04-17,Standard Class,Darren Powers,Consumer,United States,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0,35.3346
52,CA-2018-115742,2021-04-17,Standard Class,Darren Powers,Consumer,United States,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0,2.9568
53,CA-2018-115742,2021-04-17,Standard Class,Darren Powers,Consumer,United States,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0,17.0981
54,CA-2019-105816,2022-12-10,Standard Class,Janet Molinari,Corporate,United States,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0,6.2566
55,CA-2019-105816,2022-12-10,Standard Class,Janet Molinari,Corporate,United States,New York,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0,298.6855
56,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0,52.14
57,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0,15.552
58,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098
59,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0,6.9888
60,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,TEC-AC-10002167,Technology,Accessories,30,2,0,3.3
61,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,16.362
62,CA-2019-111682,2022-06-16,First Class,Ted Butterfield,Consumer,United States,New York,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0,0.84
63,CA-2018-135545,2021-11-23,Standard Class,Kunst Miller,Consumer,United States,California,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0,6.1512
64,CA-2018-135545,2021-11-23,Standard Class,Kunst Miller,Consumer,United States,California,West,OFF-BI-10001078,Office Supplies,Binders,25.824,6,0.2,9.3612
65,CA-2018-135545,2021-11-23,Standard Class,Kunst Miller,Consumer,United States,California,West,OFF-PA-10003892,Office Supplies,Paper,146.73,3,0,68.9631
66,CA-2018-135545,2021-11-23,Standard Class,Kunst Miller,Consumer,United States,California,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0,22.3328
67,US-2018-164175,2021-04-29,Standard Class,Paul Stevenson,Home Office,United States,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225
68,CA-2017-106376,2020-12-04,Standard Class,Brendan Sweed,Corporate,United States,Arizona,West,OFF-AR-10002671,Office Supplies,Art,1113.024,8,0.2,111.3024
69,CA-2017-106376,2020-12-04,Standard Class,Brendan Sweed,Corporate,United States,Arizona,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988
70,CA-2019-119823,2022-06-03,First Class,Karen Daniels,Consumer,United States,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2,0,35.6636
71,CA-2019-106075,2022-09-17,Standard Class,Henry MacAllister,Consumer,United States,New York,East,OFF-BI-10004654,Office Supplies,Binders,4.616,1,0.2,1.731
72,CA-2020-114440,2023-09-14,Second Class,Tracy Blumstein,Consumer,United States,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0,8.763
73,US-2018-134026,2021-04-25,Standard Class,Joel Eaton,Consumer,United States,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912
74,US-2018-134026,2021-04-25,Standard Class,Joel Eaton,Consumer,United States,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213
75,US-2018-134026,2021-04-25,Standard Class,Joel Eaton,Consumer,United States,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,72.784,1,0.2,-18.196
76,US-2020-118038,2023-12-09,First Class,Ken Brennan,Corporate,United States,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,3,0.8,-1.9344
77,US-2020-118038,2023-12-09,First Class,Ken Brennan,Corporate,United States,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248
78,US-2020-118038,2023-12-09,First Class,Ken Brennan,Corporate,United States,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724
79,US-2017-147606,2020-11-25,Second Class,Joel Eaton,Consumer,United States,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475
80,CA-2019-127208,2022-06-11,First Class,Stewart Carmichael,Corporate,United States,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,0,56.2032
81,CA-2019-127208,2022-06-11,First Class,Stewart Carmichael,Corporate,United States,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,16.74,3,0,8.0352
82,CA-2017-139451,2020-10-11,Standard Class,Duane Noonan,Consumer,United States,California,West,OFF-AR-10002053,Office Supplies,Art,14.9,5,0,4.172
83,CA-2017-139451,2020-10-11,Standard Class,Duane Noonan,Consumer,United States,California,West,OFF-ST-10002370,Office Supplies,Storage,21.39,1,0,6.2031
84,CA-2018-149734,2021-09-02,Standard Class,Julie Creighton,Corporate,United States,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,7,0.2,62.8075
85,US-2020-119662,2023-11-13,First Class,Christopher Schild,Home Office,United States,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,3,0.2,-48.9549
86,CA-2020-140088,2023-05-28,Second Class,Patrick O'Donnell,Consumer,United States,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0,33.2156
87,CA-2020-155558,2023-10-26,Standard Class,Paul Gonzalez,Consumer,United States,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0,6.7966
88,CA-2020-155558,2023-10-26,Standard Class,Paul Gonzalez,Consumer,United States,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0,2.9568
89,CA-2019-159695,2022-04-04,Second Class,Gary Mitchum,Home Office,United States,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,7,0.2,13.8572
90,CA-2019-109806,2022-09-16,Standard Class,Jim Sink,Corporate,United States,California,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0,6.633
91,CA-2019-109806,2022-09-16,Standard Class,Jim Sink,Corporate,United States,California,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782
92,CA-2019-109806,2022-09-16,Standard Class,Jim Sink,Corporate,United States,California,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0,3.1104
93,CA-2018-149587,2021-01-30,Second Class,Karl Braun,Consumer,United States,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2,0,6.2208
94,CA-2018-149587,2021-01-30,Second Class,Karl Braun,Consumer,United States,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0,16.5354
95,CA-2018-149587,2021-01-30,Second Class,Karl Braun,Consumer,United States,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2,0,16.1504
96,US-2020-109484,2023-11-06,Standard Class,Roger Barcio,Home Office,United States,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,5.682,1,0.7,-3.788
97,CA-2020-161018,2023-11-09,Second Class,Parhena Norris,Home Office,United States,New York,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0,40.5426
98,CA-2020-157833,2023-06-17,First Class,Katherine Ducich,Consumer,United States,California,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592
99,CA-2019-149223,2022-09-05,Standard Class,Elpida Rittenbach,Corporate,United States,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,0,22.5852
100,CA-2019-158568,2022-08-28,Standard Class,Rick Bensley,Home Office,United States,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,7,0.2,22.6184
101,CA-2019-158568,2022-08-28,Standard Class,Rick Bensley,Home Office,United States,Illinois,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973
102,CA-2019-158568,2022-08-28,Standard Class,Rick Bensley,Home Office,United States,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,3,0.8,-3.0396
103,CA-2019-129903,2022-11-30,Second Class,Gary Zandusky,Consumer,United States,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,4,0,11.7208
104,US-2018-156867,2021-11-12,Standard Class,Lena Cacioppo,Consumer,United States,Colorado,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758
105,US-2018-156867,2021-11-12,Standard Class,Lena Cacioppo,Consumer,United States,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385
106,US-2018-156867,2021-11-12,Standard Class,Lena Cacioppo,Consumer,United States,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,36.882,3,0.7,-25.8174
107,CA-2020-119004,2023-11-23,Standard Class,Janet Martin,Consumer,United States,North Carolina,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016
108,CA-2020-119004,2023-11-23,Standard Class,Janet Martin,Consumer,United States,North Carolina,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994
109,CA-2020-119004,2023-11-23,Standard Class,Janet Martin,Consumer,United States,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738
110,CA-2018-129476,2021-10-14,Standard Class,Pete Armstrong,Home Office,United States,Illinois,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992
111,CA-2020-146780,2023-12-25,Standard Class,Cynthia Voltz,Corporate,United States,New York,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0,10.9096
112,CA-2019-128867,2022-11-02,Standard Class,Clay Ludtke,Consumer,United States,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,75.96,2,0,22.788
113,CA-2019-128867,2022-11-02,Standard Class,Clay Ludtke,Consumer,United States,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,27.24,6,0,13.3476
114,CA-2017-115259,2020-08-24,Second Class,Ryan Crowe,Consumer,United States,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096,14,0.2,14.5348
115,CA-2017-115259,2020-08-24,Second Class,Ryan Crowe,Consumer,United States,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72,2,0.2,1.652
116,CA-2017-115259,2020-08-24,Second Class,Ryan Crowe,Consumer,United States,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,23.976,3,0.2,7.4925
117,CA-2017-115259,2020-08-24,Second Class,Ryan Crowe,Consumer,United States,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464,6,0.2,44.0316
118,CA-2018-110457,2021-03-01,Standard Class,Dave Kipp,Consumer,United States,Washington,West,FUR-TA-10001768,Furniture,Tables,787.53,3,0,165.3813
119,US-2018-136476,2021-04-04,Standard Class,Greg Guthrie,Corporate,United States,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,157.794,1,0.7,-115.7156
120,CA-2019-103730,2022-06-11,First Class,Steven Cartwright,Consumer,United States,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,47.04,3,0,18.3456
121,CA-2019-103730,2022-06-11,First Class,Steven Cartwright,Consumer,United States,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,30.84,4,0,13.878
122,CA-2019-103730,2022-06-11,First Class,Steven Cartwright,Consumer,United States,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,226.56,6,0,63.4368
123,CA-2019-103730,2022-06-11,First Class,Steven Cartwright,Consumer,United States,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02,9,0,51.759
124,CA-2019-103730,2022-06-11,First Class,Steven Cartwright,Consumer,United States,Delaware,East,TEC-PH-10003875,Technology,Phones,68.04,7,0,19.7316
125,US-2017-152030,2020-12-25,Second Class,Alan Dominguez,Home Office,United States,Texas,Central,FUR-CH-10004063,Furniture,Chairs,600.558,3,0.3,-8.5794
126,US-2017-134614,2020-09-19,Standard Class,Philip Fox,Consumer,United States,Illinois,Central,FUR-TA-10004534,Furniture,Tables,617.7,6,0.5,-407.682
127,US-2020-107272,2023-11-05,Standard Class,Troy Staebel,Consumer,United States,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,2.388,2,0.7,-1.8308
128,US-2020-107272,2023-11-05,Standard Class,Troy Staebel,Consumer,United States,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,243.992,7,0.2,30.499
129,US-2019-125969,2022-11-05,Second Class,Lindsay Shagiari,Home Office,United States,California,West,FUR-CH-10001146,Furniture,Chairs,81.424,2,0.2,-9.1602
130,US-2019-125969,2022-11-05,Second Class,Lindsay Shagiari,Home Office,United States,California,West,FUR-FU-10003773,Furniture,Furnishings,238.56,3,0,26.2416
131,US-2020-164147,2023-02-01,First Class,Dorothy Wardle,Corporate,United States,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994
132,US-2020-164147,2023-02-01,First Class,Dorothy Wardle,Corporate,United States,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2,0.2,29.364
133,US-2020-164147,2023-02-01,First Class,Dorothy Wardle,Corporate,United States,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,9,0.2,6.9732
134,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-PA-10001804,Office Supplies,Paper,20.04,3,0,9.6192
135,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-PA-10001736,Office Supplies,Paper,35.44,1,0,16.6568
136,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-AR-10001149,Office Supplies,Art,11.52,4,0,3.456
137,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02,2,0,1.9698
138,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-BI-10004781,Office Supplies,Binders,76.176,3,0.2,26.6616
139,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,OFF-SU-10001218,Office Supplies,Supplies,65.88,6,0,18.4464
140,CA-2019-145583,2022-10-12,Standard Class,Lena Creighton,Consumer,United States,California,West,FUR-FU-10001706,Furniture,Furnishings,43.12,14,0,20.6976
141,CA-2019-110366,2022-09-04,Second Class,Jonathan Doherty,Corporate,United States,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,82.8,2,0.2,10.35
142,CA-2020-106180,2023-09-18,Standard Class,Sally Hughsby,Corporate,United States,California,West,OFF-AR-10000940,Office Supplies,Art,8.82,3,0,2.3814
143,CA-2020-106180,2023-09-18,Standard Class,Sally Hughsby,Corporate,United States,California,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86,3,0,5.1042
144,CA-2020-106180,2023-09-18,Standard Class,Sally Hughsby,Corporate,United States,California,West,OFF-PA-10004327,Office Supplies,Paper,143.7,3,0,68.976
145,CA-2020-155376,2023-12-22,Standard Class,Sandra Glassco,Consumer,United States,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,839.43,3,0,218.2518
146,CA-2018-110744,2021-09-06,Standard Class,Helen Andreada,Consumer,United States,California,West,OFF-ST-10003656,Office Supplies,Storage,671.93,7,0,20.1579
147,CA-2017-110072,2020-10-21,Standard Class,Maureen Gastineau,Home Office,United States,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,93.888,4,0.2,12.9096
148,CA-2019-114489,2022-12-04,Standard Class,Justin Ellison,Corporate,United States,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,384.45,11,0,103.8015
149,CA-2019-114489,2022-12-04,Standard Class,Justin Ellison,Corporate,United States,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,149.97,3,0,5.9988
150,CA-2019-114489,2022-12-04,Standard Class,Justin Ellison,Corporate,United States,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,1951.84,8,0,585.552
151,CA-2019-114489,2022-12-04,Standard Class,Justin Ellison,Corporate,United States,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,171.55,5,0,80.6285
152,CA-2019-158834,2022-03-12,First Class,Tamara Willingham,Home Office,United States,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,157.92,5,0.2,17.766
153,CA-2019-158834,2022-03-12,First Class,Tamara Willingham,Home Office,United States,Arizona,West,TEC-PH-10001254,Technology,Phones,203.184,2,0.2,15.2388
154,CA-2018-124919,2021-05-30,First Class,Stephanie Phelps,Corporate,United States,California,West,OFF-PA-10001950,Office Supplies,Paper,58.38,7,0,26.271
155,CA-2018-124919,2021-05-30,First Class,Stephanie Phelps,Corporate,United States,California,West,OFF-PA-10002254,Office Supplies,Paper,105.52,4,0,48.5392
156,CA-2018-124919,2021-05-30,First Class,Stephanie Phelps,Corporate,United States,California,West,OFF-ST-10001590,Office Supplies,Storage,80.88,6,0,21.0288
157,CA-2018-118948,2021-05-27,Standard Class,Neil Knudson,Home Office,United States,Washington,West,OFF-AR-10001547,Office Supplies,Art,6.63,3,0,1.7901
158,CA-2017-104269,2020-02-29,Second Class,Dave Brooks,Consumer,United States,Washington,West,FUR-CH-10004063,Furniture,Chairs,457.568,2,0.2,51.4764
159,CA-2019-114104,2022-11-19,Standard Class,Nora Paige,Consumer,United States,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,14.62,2,0,6.8714
160,CA-2019-114104,2022-11-19,Standard Class,Nora Paige,Consumer,United States,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,944.93,7,0,236.2325
161,CA-2019-162733,2022-05-10,First Class,Ted Trevino,Consumer,United States,California,West,OFF-PA-10002751,Office Supplies,Paper,5.98,1,0,2.691
162,CA-2018-119697,2021-12-27,Second Class,Eric Murdock,Consumer,United States,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,54.384,2,0.2,1.3596
163,CA-2019-154508,2022-11-15,Standard Class,Ruben Dartt,Consumer,United States,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,28.4,5,0,13.348
164,CA-2019-113817,2022-11-06,Standard Class,Max Jones,Consumer,United States,Washington,West,OFF-BI-10004002,Office Supplies,Binders,27.68,2,0.2,9.688
165,CA-2017-139892,2020-09-07,Standard Class,Becky Martin,Consumer,United States,Texas,Central,OFF-AR-10004441,Office Supplies,Art,9.936,3,0.2,2.7324
166,CA-2017-139892,2020-09-07,Standard Class,Becky Martin,Consumer,United States,Texas,Central,TEC-MA-10000822,Technology,Machines,8159.952,8,0.4,-1359.992
167,CA-2017-139892,2020-09-07,Standard Class,Becky Martin,Consumer,United States,Texas,Central,OFF-ST-10000991,Office Supplies,Storage,275.928,3,0.2,-58.6347
168,CA-2017-139892,2020-09-07,Standard Class,Becky Martin,Consumer,United States,Texas,Central,FUR-CH-10004287,Furniture,Chairs,1740.06,9,0.3,-24.858
